date,close,source
2012-02-17,4.3915,coinmetrics
2012-02-18,4.2701,coinmetrics
2012-02-19,4.3895,coinmetrics
2012-02-20,4.3651,coinmetrics
2012-02-21,4.3151,coinmetrics
2012-02-22,4.4193,coinmetrics
2012-02-23,5.0395,coinmetrics
2012-02-24,5.0256,coinmetrics
2012-02-25,4.7726,coinmetrics
2012-02-26,4.9264,coinmetrics
2012-02-27,4.9525,coinmetrics
2012-02-28,4.8573,coinmetrics
2012-02-29,4.8727,coinmetrics
2012-03-01,4.9221,coinmetrics
2012-03-02,4.7148,coinmetrics
2012-03-03,4.6282,coinmetrics
2012-03-04,4.8341,coinmetrics
2012-03-05,4.9824,coinmetrics
2012-03-06,4.9878,coinmetrics
2012-03-07,4.9491,coinmetrics
2012-03-08,4.9350,coinmetrics
2012-03-09,4.8723,coinmetrics
2012-03-10,4.8414,coinmetrics
2012-03-11,4.8920,coinmetrics
2012-03-12,4.9108,coinmetrics
2012-03-13,5.2909,coinmetrics
2012-03-14,5.3905,coinmetrics
2012-03-15,5.3408,coinmetrics
2012-03-16,5.3396,coinmetrics
2012-03-17,5.2360,coinmetrics
2012-03-18,5.2702,coinmetrics
2012-03-19,4.6787,coinmetrics
2012-03-20,4.8308,coinmetrics
2012-03-21,4.8172,coinmetrics
2012-03-22,4.7296,coinmetrics
2012-03-23,4.6916,coinmetrics
2012-03-24,4.6520,coinmetrics
2012-03-25,4.5523,coinmetrics
2012-03-26,4.6327,coinmetrics
2012-03-27,4.8113,coinmetrics
2012-03-28,4.7906,coinmetrics
2012-03-29,4.7941,coinmetrics
2012-03-30,4.8614,coinmetrics
2012-03-31,4.8898,coinmetrics
2012-04-01,4.7933,coinmetrics
2012-04-02,4.9831,coinmetrics
2012-04-03,4.9562,coinmetrics
2012-04-04,4.9178,coinmetrics
2012-04-05,4.9208,coinmetrics
2012-04-06,4.9491,coinmetrics
2012-04-07,4.7097,coinmetrics
2012-04-08,4.7788,coinmetrics
2012-04-09,4.8525,coinmetrics
2012-04-10,4.8414,coinmetrics
2012-04-11,4.9153,coinmetrics
2012-04-12,4.9012,coinmetrics
2012-04-13,4.9344,coinmetrics
2012-04-14,4.9564,coinmetrics
2012-04-15,4.9616,coinmetrics
2012-04-16,4.9508,coinmetrics
2012-04-17,4.9687,coinmetrics
2012-04-18,5.1244,coinmetrics
2012-04-19,5.1309,coinmetrics
2012-04-20,5.3665,coinmetrics
2012-04-21,5.2825,coinmetrics
2012-04-22,5.1956,coinmetrics
2012-04-23,5.1109,coinmetrics
2012-04-24,5.0879,coinmetrics
2012-04-25,5.1488,coinmetrics
2012-04-26,5.0974,coinmetrics
2012-04-27,5.0959,coinmetrics
2012-04-28,4.9707,coinmetrics
2012-04-29,4.9026,coinmetrics
2012-04-30,4.9421,coinmetrics
2012-05-01,4.9871,coinmetrics
2012-05-02,5.0534,coinmetrics
2012-05-03,5.1189,coinmetrics
2012-05-04,5.0855,coinmetrics
2012-05-05,5.0566,coinmetrics
2012-05-06,5.0478,coinmetrics
2012-05-07,5.0676,coinmetrics
